# Chordwise load of component: right_wing
# spanwise_location: 3.000 ; chord_length: 1.514
# n_chord : 20 ; n_time : 60. Next lines: x_chord , z_chord
  0.194354205692912E+001  0.179313805915763E+001  0.164270813504688E+001  0.149215298948141E+001  0.134132397942318E+001  0.119014636069891E+001  0.103866072234585E+001  0.887051244259697E+000  0.735598938332405E+000  0.588624786792652E+000  0.587185936081897E+000  0.732214426160011E+000  0.882890152585483E+000  0.103414666869496E+001  0.118568300935415E+001  0.133729421067545E+001  0.148883343234651E+001  0.164027374001411E+001  0.179166306754933E+001  0.194303660080773E+001
  0.473297205353882E-001  0.274418633852611E-001  0.776911570943493E-002 -0.108794168171674E-001 -0.270337416078049E-001 -0.391706150192473E-001 -0.457110634815172E-001 -0.463318019106202E-001 -0.407065781311870E-001 -0.180702860250646E-001  0.235329028133345E-001  0.574010871795588E-001  0.745778157344993E-001  0.855305315023910E-001  0.905682417285226E-001  0.900024767568885E-001  0.854064715821314E-001  0.783046462482063E-001  0.701729040934892E-001  0.618252186072010E-001
# t, dNz
  0.500000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.550000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.600000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.650000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.700000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.750000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.800000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.850000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.900000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.950000000000000E+001 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.100000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.105000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.110000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.115000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.120000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.125000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.130000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.135000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.140000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.145000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.150000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.155000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.160000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.165000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.170000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.175000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.180000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.185000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.190000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.195000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.200000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.205000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.210000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.215000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.220000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.225000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.230000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.235000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.240000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.245000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.250000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.255000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
  0.260000000000000E+002 -0.989363321533280E+000 -0.989373582761653E+000 -0.989497109059464E+000 -0.991331358191839E+000 -0.994303427654689E+000 -0.997633201640228E+000 -0.999740794680860E+000 -0.999460052890627E+000 -0.996232157125109E+000 -0.948689843450221E+000  0.915490863908819E+000  0.984272316004504E+000  0.993254298883588E+000  0.997715202403160E+000  0.999920202759457E+000  0.999421409536931E+000  0.997941084966639E+000  0.996573796496461E+000  0.996032335378030E+000  0.995517347525574E+000
